"","time_id","time_start","time_finish","date_obs"
"1",1,"12:00:00","12:15:00","2016-04-29"
"2",2,"08:00:00","08:15:00","2016-05-01"
"18",3,"07:00:00","07:15:00","2016-05-03"
"33",4,"08:00:00","08:15:00","2016-05-03"
"40",5,"06:00:00","06:15:00","2016-05-05"
"57",6,"23:00:00","23:03:00","2016-05-05"
"58",7,"05:00:00","05:15:00","2016-05-07"
"62",8,"01:00:00","01:15:00","2016-05-12"
"63",9,"08:00:00","08:15:00","2016-05-13"
"77",10,"06:00:00","06:15:00","2016-05-17"
"97",11,"19:00:00","19:15:00","2016-05-17"
"100",12,"05:00:00","05:15:00","2016-05-19"
"106",13,"06:00:00","06:03:00","2016-05-22"
"107",14,"04:00:00","04:15:00","2016-05-22"
"129",15,"13:00:00","13:15:00","2016-05-22"
"137",16,"03:00:00","03:15:00","2016-05-23"
"141",17,"08:00:00","08:03:00","2016-05-24"
"158",18,"12:00:00","12:15:00","2016-05-24"
"163",19,"07:00:00","07:03:00","2016-05-26"
"181",20,"19:00:00","19:03:00","2016-05-28"
"182",21,"23:00:00","23:03:00","2016-05-28"
"183",22,"07:00:00","07:03:00","2016-05-30"
"194",23,"19:00:00","19:15:00","2016-05-30"
"195",24,"19:00:00","19:15:00","2016-06-01"
"204",25,"21:00:00","21:15:00","2016-06-01"
"205",26,"04:00:00","04:15:00","2016-06-01"
"212",27,"05:00:00","05:03:00","2016-06-01"
"223",28,"05:00:00","05:15:00","2016-06-01"
"238",29,"06:00:00","06:15:00","2016-06-01"
"256",30,"07:00:00","07:15:00","2016-06-01"
"274",31,"08:00:00","08:15:00","2016-06-01"
"289",32,"12:00:00","12:15:00","2016-06-01"
"295",33,"13:00:00","13:15:00","2016-06-01"
"306",34,"01:00:00","01:15:00","2016-06-02"
"307",35,"03:00:00","03:15:00","2016-06-02"
"308",36,"04:00:00","04:15:00","2016-06-03"
"312",37,"05:00:00","05:15:00","2016-06-03"
"324",38,"06:00:00","06:15:00","2016-06-03"
"337",39,"07:00:00","07:15:00","2016-06-03"
"353",40,"08:00:00","08:15:00","2016-06-03"
"366",41,"12:00:00","12:15:00","2016-06-03"
"374",42,"13:00:00","13:15:00","2016-06-03"
"381",43,"19:00:00","19:15:00","2016-06-03"
"389",44,"01:00:00","01:15:00","2016-06-04"
"390",45,"03:00:00","03:15:00","2016-06-04"
"391",46,"04:00:00","04:15:00","2016-06-05"
"396",47,"05:00:00","05:15:00","2016-06-05"
"411",48,"06:00:00","06:15:00","2016-06-05"
"428",49,"07:00:00","07:15:00","2016-06-05"
"448",50,"08:00:00","08:03:00","2016-06-05"
"456",51,"08:00:00","08:15:00","2016-06-05"
"466",52,"12:00:00","12:15:00","2016-06-05"
"474",53,"05:00:00","05:15:00","2016-06-07"
"483",54,"06:00:00","06:15:00","2016-06-07"
"504",55,"07:00:00","07:15:00","2016-06-07"
"522",56,"08:00:00","08:15:00","2016-06-07"
"534",57,"19:00:00","19:03:00","2016-06-07"
"545",58,"06:00:00","06:03:00","2016-06-09"
"553",59,"19:00:00","19:03:00","2016-06-10"
"560",60,"05:00:00","05:15:00","2016-06-12"
"575",61,"08:00:00","08:03:00","2016-06-12"
"580",62,"05:00:00","05:03:00","2016-06-14"
"593",63,"05:00:00","05:15:00","2016-06-14"
"595",64,"06:00:00","06:15:00","2016-06-14"
"597",65,"19:00:00","19:03:00","2016-06-14"
"605",66,"07:00:00","07:03:00","2016-06-16"
"619",67,"07:00:00","07:15:00","2016-06-20"
"620",68,"06:00:00","06:15:00","2016-06-22"
"621",69,"23:00:00","23:03:00","2016-06-22"
"622",70,"04:00:00","04:15:00","2016-06-24"
"628",71,"19:00:00","19:15:00","2016-06-24"
"630",72,"19:00:00","19:15:00","2016-06-28"
"631",73,"07:00:00","07:15:00","2016-06-30"
"632",74,"08:00:00","08:15:00","2016-06-30"
"633",75,"19:00:00","19:15:00","2016-06-30"
"634",76,"19:00:00","19:15:00","2016-07-02"
"636",77,"07:00:00","07:15:00","2016-07-04"
"637",78,"08:00:00","08:15:00","2016-07-04"
"639",79,"13:00:00","13:15:00","2016-07-04"
"641",80,"07:00:00","07:15:00","2016-07-06"
"643",81,"08:00:00","08:15:00","2016-07-06"
"646",82,"12:00:00","12:15:00","2016-07-06"
"647",83,"13:00:00","13:15:00","2016-07-06"
"649",84,"04:00:00","04:15:00","2016-07-08"
"650",85,"19:00:00","19:15:00","2016-07-08"
"651",86,"19:00:00","19:15:00","2016-07-10"
"652",87,"04:00:00","04:15:00","2016-05-12"
"660",88,"05:00:00","05:15:00","2016-05-12"
"666",89,"03:00:00","03:15:00","2016-05-13"
"667",90,"06:00:00","06:15:00","2016-05-14"
"678",91,"01:00:00","01:15:00","2016-05-15"
"679",92,"07:00:00","07:15:00","2016-05-16"
"680",93,"08:00:00","08:15:00","2016-05-18"
